day,cargo,tanker,fishing,passenger,search and rescue vessel,other,unknown
2025-08-01,3,1,0,4,0,0,2
2025-08-02,2,1,1,3,0,0,2
2025-08-03,2,1,0,4,0,0,2
2025-08-04,2,0,0,4,0,0,0
2025-08-05,2,3,0,4,0,0,2
2025-08-06,3,4,0,4,0,0,3
2025-08-07,7,1,0,3,0,0,0
2025-08-08,5,0,0,4,0,0,0
2025-08-09,1,0,0,3,0,0,0
2025-08-10,5,1,0,4,0,1,0
2025-08-11,2,2,0,4,0,1,1
2025-08-12,1,3,0,4,0,1,1
2025-08-13,2,1,0,4,1,0,1
2025-08-14,4,1,0,3,0,1,0
2025-08-15,3,1,0,4,0,1,0
2025-08-16,2,2,0,4,1,1,0
2025-08-17,5,3,0,3,0,0,1
2025-08-18,5,1,2,3,0,1,1
2025-08-19,2,2,0,2,0,2,1
2025-08-20,0,3,0,4,0,0,2
2025-08-21,2,0,0,3,0,0,0
2025-08-22,3,0,0,4,0,0,1
2025-08-23,5,0,0,4,0,1,0
2025-08-24,8,1,1,4,0,0,0
2025-08-25,1,2,0,5,0,0,0
2025-08-26,2,3,0,5,0,0,0
2025-08-27,1,0,0,4,0,0,0
2025-08-28,0,2,0,4,0,1,1
2025-08-29,2,1,0,4,0,0,2
2025-08-30,2,1,0,4,0,0,1
2025-08-31,4,0,0,5,0,1,1
